RunID,Component,Class,ImplementationPath,ImplementationSHA256,Status
master_sinr_sweep-40aca8e603e6,AbsoluteRadioClock,sixgr.integration.AbsoluteRadioClock,C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\+sixgr\+integration\AbsoluteRadioClock.m,3654c19b39a873a94b8da9a4f027958fb198cd4c159ac5d6a5a5557c32aee363,PASS
master_sinr_sweep-40aca8e603e6,ResourceTransactionManager,sixgr.integration.ResourceTransactionManager,C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\+sixgr\+integration\ResourceTransactionManager.m,44b346ccfd4874c34c097af92631c564f3633b61cf57743d09aa1e5907847d35,PASS
master_sinr_sweep-40aca8e603e6,CanonicalWaveformEngine,sixgr.phy.waveform.CanonicalOFDMModulator,C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\+sixgr\+phy\+waveform\CanonicalOFDMModulator.m,ad5d1c152f81561eabe586c73ef6fd0a8d763211ce5e67973c173c9ede57c051,PASS
master_sinr_sweep-40aca8e603e6,ChannelApplicationContract,sixgr.integration.ChannelApplicationContract,C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\+sixgr\+integration\ChannelApplicationContract.m,97e8a259d861c2d7076e907c21523553e168ae2302dff2f3f099846ef03191a6,PASS
master_sinr_sweep-40aca8e603e6,RFFrontEndRuntime,sixgr.rf.runtime.RFChain,builtin_or_value,ed9b2e70c50b312cf2c316856a883f90d9c4ef62ebbdcb95cef17d55230cc029,PASS
master_sinr_sweep-40aca8e603e6,CommonReceiverPipeline,sixgr.integration.CommonReceiverPipeline,C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\+sixgr\+integration\CommonReceiverPipeline.m,81ffd6af03c4acc8583f8bc001296662666044d6f11c9f427d3770a6421b6af5,PASS
master_sinr_sweep-40aca8e603e6,EventSourcedStateStore,sixgr.integration.EventSourcedStateStore,C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\+sixgr\+integration\EventSourcedStateStore.m,6f1e49893732e1c008ed78fca1edc6050425a2821d129c5466f4478f344be5c3,PASS
master_sinr_sweep-40aca8e603e6,AbsoluteEventScheduler,sixgr.integration.AbsoluteEventScheduler,C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\+sixgr\+integration\AbsoluteEventScheduler.m,0a4404d930cd3898ee0683d4146d6e9c00b1383affe94e7bae0b8c51ca5aca0c,PASS
master_sinr_sweep-40aca8e603e6,PacketLineageBridge,sixgr.integration.PacketLineageBridge,C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\+sixgr\+integration\PacketLineageBridge.m,6e2e8ce7bfbbb56bfdcc22034be202011e94c3f14b03a1f79ef693213493d068,PASS
master_sinr_sweep-40aca8e603e6,IntegrationArtifactExporter,sixgr.integration.IntegrationArtifactExporter,C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\+sixgr\+integration\IntegrationArtifactExporter.m,4de2002471b0cf28db4988117e0953671e9415eb0234af00a2aeca6f68225f63,PASS
master_geometry_based-3f70d295e31d,AbsoluteRadioClock,sixgr.integration.AbsoluteRadioClock,C:\Users\anup0\OneDrive\Documents\Simulator\6GR Simulator_v2_clean_main\+sixgr\+integration\AbsoluteRadioClock.m,3654c19b39a873a94b8da9a4f027958fb198cd4c159ac5d6a5a5557c32aee363,PASS
